shortform_contents,views(ten thousand)
1,50.6
1,52.8
1,52.8
1,49.7
1,51.1
1,0.6
0,1.2
0,11.4
0,1.5
0,2.1
0,1.3
0,12.3
0,3
0,1.1
0,1.4
0,0.02
0,1.7
0,0.3
0,11.7
0,1.5
0,3.2
0,2.1
0,5.8
0,1
1,510
1,1000
0,13.4
1,830
1,970
0,0.01
1,320
1,320
1,1000
1,570
0,12.5
1,670
0,4
0,2.2
1,700
1,660
1,320
1,570
1,490
0,1.9
1,330
0,16.9
1,300
1,550
1,1000
1,180
0,1.7
1,270
0,1.5
1,27.1
1,19.1
0,14.8
1,18.3
0,2.1
0,56.8
0,7.3
0,2
0,6
0,1.7
0,1.6
0,9.5
0,420
0,1.9
0,0.008
0,0.01
0,9.8
0,21.7
0,7.7
0,23
0,1.9
0,2.4
0,1.5
0,8.4
0,2
0,11.3
1,3.9
1,6.1
1,2.6
1,3.5
0,3
1,430
1,360
1,360
1,250
0,1.3
1,450
1,340
0,20
1,350
0,2.1
1,680
1,170
1,810
0,8.5
0,8.6
0,1.7
0,5.9
1,12.2
1,12.4
1,10.4
1,18
1,5.2
1,6.1
1,4.5
1,10.9
1,18.5
0,1.8
0,1.7
